date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:44	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Sep%202022%2006:17:44%20GMT	http://drmadhurahomoeoclinic.com/Scripts/jquery.unobtrusive-ajax.min.js	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/Scripts/jquery.unobtrusive-ajax.min.23.delayed	(from http://drmadhurahomoeoclinic.com/)
11:47:45	7063/7063	---M-Z	200	added ('OK')	application/javascript	etag:%22e7f21bdd2917d61:0%22	http://drmadhurahomoeoclinic.com/Scripts/jquery.validate.unobtrusive.min.js	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/Scripts/jquery.validate.unobtrusive.min.js	(from http://drmadhurahomoeoclinic.com/)
11:47:45	4218/4218	---M-Z	200	added ('OK')	application/javascript	etag:%223d6d0614b9d61:0%22	http://drmadhurahomoeoclinic.com/js/custom.js	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/js/custom.js	(from http://drmadhurahomoeoclinic.com/)
11:47:45	84158/84158	---MCZ	200	added ('OK')	application/javascript	etag:%2215832ed8fb7d61:0%22	http://drmadhurahomoeoclinic.com/plugin/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/plugin/bootstrap/js/bootstrap.bundle.min.js	(from http://drmadhurahomoeoclinic.com/)
11:47:45	1892/1892	---M--	200	added ('OK')	image/png	etag:%2206ecc05f19d71:0%22	http://drmadhurahomoeoclinic.com/Assets/images/Theme3/Logo.png	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/Assets/images/Theme3/Logo.png	(from http://drmadhurahomoeoclinic.com/css/custom/Theme3.css)
11:47:46	286591/286591	---M--	200	added ('OK')	application/octet-stream	etag:0x8DA275BDEF944A0	http://mindtechlive.blob.core.windows.net/assets/images/AffiliateDoctor/-0-09351451.jpg	C:/My%20Web%20Sites/medapp/mindtechlive.blob.core.windows.net/assets/images/AffiliateDoctor/-0-09351451.jpg	(from http://drmadhurahomoeoclinic.com/)
11:47:46	2112/2112	---M--	200	added ('OK')	image/png	etag:%225870f6827ab8d61:0%22	http://drmadhurahomoeoclinic.com/Assets/images/Theme3/Sign-up.png	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/Assets/images/Theme3/Sign-up.png	(from http://drmadhurahomoeoclinic.com/css/custom/Theme3.css)
11:47:46	2078/2078	---M--	200	added ('OK')	image/png	etag:%2254a520817ab8d61:0%22	http://drmadhurahomoeoclinic.com/Assets/images/Theme3/Consultation.png	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/Assets/images/Theme3/Consultation.png	(from http://drmadhurahomoeoclinic.com/css/custom/Theme3.css)
11:47:47	1499/1499	---M--	200	added ('OK')	image/png	etag:%225b326c827ab8d61:0%22	http://drmadhurahomoeoclinic.com/Assets/images/Theme3/Get-Medicines.png	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/Assets/images/Theme3/Get-Medicines.png	(from http://drmadhurahomoeoclinic.com/css/custom/Theme3.css)
11:47:47	1916/1916	---M--	200	added ('OK')	image/png	etag:%229f95ab837ab8d61:0%22	http://drmadhurahomoeoclinic.com/Assets/images/Theme3/Regular-Followup.png	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/Assets/images/Theme3/Regular-Followup.png	(from http://drmadhurahomoeoclinic.com/css/custom/Theme3.css)
